"","timepoint","bw_date","ID","species","colony","coralID","colony_ID","home_reef","transplant_reef","collection_site","transplant_site","transplant","pale.or.bleached","partial.mortality","mortality","parent.colony.length","parent.colony.width","parent.colony.height","parent.colony.area","parent.colony.volume","bw","bw_sd","bw_se","surface.area","sa_sd","sa_se","chla","symb_den","symb_sd","symb_se","carbs_sa","carbs_dw","lipids_sa","lipids_dw","protein_dw","protein_sa","months","speciescolony","chlapercell","symb_mean","symblowerci","symbupperci"
"1","T1","3/8/2018","PSTR 1 1","PSTR","P1","1","NSP1","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,14,8,266,2128,18.82022827,0.011547005,0.008164966,21.6277762,0.064350232,0.037152624,19289.6,8862000,1628603.819,664874.725,NA,0.024177773,NA,0.033461586,0.017554791,0.672222222,3,"PSTR:P1",0.00217666440983977,0.00172207301278563,-0.000283247446015979,0.00378079436924813
"8","T1","3/7/2018","PSTR 1 8","PSTR","P1","8","NSP1","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,14,8,266,2128,17.49384211,0,0,18.00646789,0.182722251,0.105494741,12504.8381,4596428.571,551135.1921,225000,NA,0.021832602,NA,0.026047656,0.038483344,2.133333333,3,"PSTR:P1",0.00272055529784496,0.00163382971502067,-0.00031682283491773,0.00344254730478842
"15","T2","9/26/2018","PSTR 1 12","PSTR","P1","12","NSP1","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,14,8,266,2128,32.11912664,0.01,0.007071068,26.51838546,0.029379772,0.016962419,2864.477828,598642.5339,75421.86993,43544.83691,0.483388894,0.040004598,1.799292896,0.148906998,0.020458116,0.695652174,9,"PSTR:P1",0.00478495540458623,0.0078463772197804,0.00601722038714645,0.009783217251598
"23","T3","5/30/2019","PSTR P1 3","PSTR","P1","3","NSP1","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,14,8,266,2128,42.3595092,11.54123188,8.160883326,38.06588179,0.461536692,0.266468334,17536,4557246.377,126186.8671,72854.02166,0.710992471,0.014468596,0.604664519,0.012304837,0.052670221,2.588235294,17,"PSTR:P1",0.0038479376687867,0.00192397034756552,0.000209936904609487,0.00362565930786754
"30","T3","5/31/2019","PSTR P1 11","PSTR","P1","11","NSP1","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,14,8,266,2128,40.20052724,0,0,34.21791706,0.28458084,0.164302824,4369.386667,6125000,160390.1493,92601.29589,0.583375449,0.01304393,0.759602282,0.016984258,0.021499432,0.961538462,17,"PSTR:P1",0.000713369251755102,0.00089841943146062,-0.000767512727653527,0.00255349853610897
"44","T1","3/8/2018","PSTR 2 1","PSTR","P2","1","NSP2","NS","NS","False Caye","False Caye","NS Native","N","N","alive",22,19,10,418,4180,17.31718039,0.005773503,0.004082483,19.0010463,0.388760194,0.224450803,3529.974026,4672889.61,484947.8621,197979.1357,NA,0.010000034,NA,0.022613471,0.055765088,2.132936508,3,"PSTR:P2",0.00075541566795112,0.00172207301278563,-0.000283247446015979,0.00378079436924813
"52","T1","3/7/2018","PSTR 2 9","PSTR","P2","9","NSP2","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",22,19,10,418,4180,18.22192105,0,0,23.79918922,0.055220137,0.031881361,15347.74701,4644444.445,395653.2028,161524.7436,NA,0.018750621,NA,0.040294559,0.035610298,1.388888889,3,"PSTR:P2",0.00330453882950903,0.00163382971502067,-0.00031682283491773,0.00344254730478842
"58","T2","9/26/2018","PSTR 2 12","PSTR","P2","12","NSP2","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",22,19,10,418,4180,32.58141981,0.01,0.007071068,26.37817148,0.066636435,0.038472564,11249.01926,785679.0124,187538.6259,76562.32344,1.213437238,0.152121566,13.95509037,1.749468484,0.035515221,0.868055556,9,"PSTR:P2",0.0143175763670176,0.0078463772197804,0.00601722038714645,0.009783217251598
"59","T2","9/24/2018","PSTR 2 2","PSTR","P2","2","NSP2","NS","NS","False Caye","False Caye","NS Native","N","N","alive",22,19,10,418,4180,37.72904348,0.01,0.007071068,36.30716627,0.175243783,0.101177046,20547.23232,874074.0741,257483.9738,105117.3921,0.63543664,0.005710674,1.637781197,0.014718753,0.02944774,2.087719298,9,"PSTR:P2",0.0235074268060824,0.0128578178490606,0.0106214870124443,0.0148913760363917
"66","T3","5/30/2019","PSTR P2 3","PSTR","P2","3","NSP2","NS","NS","False Caye","False Caye","NS Native","N","N","alive",22,19,10,418,4180,48.68080986,0.01,0.007071068,51.55212003,1.584454126,0.914785016,13152,3963750,81965.59873,47322.86049,0.72447935,0.009549856,1.406275031,0.018537069,0.067556116,5.125,17,"PSTR:P2",0.00331807000946074,0.00192397034756552,0.000209936904609487,0.00362565930786754
